trn,crossreg,euctr_hidden,notes
NCT04374539,EUCTR2020-001722-66,NA,NA
NCT04414267,EUCTR2020-002448-21,NA,Think this got excluded b/c of no comp date on EUCTR and that's what was in ICTRP…could include now?
NCT04497298,EUCTR2020-002973-89,NA,NA
NCT04273763,EUCTR2020-005395-35,NA,NA
NCT04614948,EUCTR2020-003643-29; ISRCTN14722499,NA,NA
NCT04509973,EUCTR2020-003363-25; CTRI/2020/10/028731,NA,"In dataset as tri07423, tri07285, tri08258"
NCT04341207,EUCTR2020-001250-21,NA,NA
NCT04371406,EUCTR2020-001702-35,1,NA
NCT04372082,EUCTR2020-002188-72,1,NA
NCT04350736,EUCTR2020-000577-24,1,NA
NCT03648372,EUCTR2020-003947-27,NA,NA
NCT04341610,EUCTR2020-001330-36,1,NA
NCT04431453,EUCTR2020-001803-17,NA,NA
NCT04425031,EUCTR2017-000632-34,NA,NA
NCT04435379,EUCTR2020-001675-33,NA,NA
NCT04439071,EUCTR2020-001872-13,NA,NA
NCT04448756,EUCTR2020-002248-22,1,NA
NCT04449276,EUCTR2020-001286-36,1,NA
NCT04492254,EUCTR2020-003125-39; CTRI/2021/01/030373,NA,NA
NCT04492358,EUCTR2020-002462-14,NA,NA
NCT04500418,EUCTR2020-001493-29,NA,NA
NCT04520620,EUCTR2020-001823-15,NA,NA
NCT04535167,EUCTR2020-003905-73,1,NA
NCT04535674,EUCTR2020-001887-27,1,NA
NCT04547127,EUCTR2020-001299-14,1,NA
NCT04576312,EUCTR2020-002049-40,NA,NA
NCT04583410,EUCTR2020-003722-23,1,NA
NCT04593641,EUCTR2020-003165-19,1,NA
NCT04596943,EUCTR2020-001325-31,NA,NA
NCT04598594,EUCTR2020-003723-42,1,NA
NCT04607928,EUCTR2020-002518-42,NA,NA
NCT04625114,EUCTR2020-003475-18,NA,NA
NCT04498247,EUCTR2020-003493-46,1,NA
NCT04575584,EUCTR2020-003367-26,NA,NA
NCT04604184,EUCTR2020-003211-96,1,NA
NCT04608201,EUCTR2020-003743-28,1,NA
NCT04640194,EUCTR2020-002913-16,NA,NA
NCT04659109,EUCTR2020-002733-15,NA,NA
NCT04575597,EUCTR2020-003368-24,NA,NA
NCT04718480,EUCTR2020-002299-11,NA,NA
NCT04726098,EUCTR2020-005702-25,1,NA
NCT04748471,EUCTR2020-005889-34,1,NA
NCT04695197,PACTR202009642148520,NA,NA
NCT04780295,DRKS00022277,NA,NA
NCT04765384,EUCTR2020-005330-14,NA,NA
NCT04788459,EUCTR2020-003734-20,NA,NA
NCT04712110,JPRN-jRCT2071200084,NA,NA
NCT04824222,EUCTR2020-003915-84,1,NA
NCT04828161,EUCTR2021-000890-10,NA,NA
NCT04832880,EUCTR2020-001854-23,NA,NA
NCT04834856,EUCTR2021-000365-33,NA,NA
NCT04838847,EUCTR2020-005064-54,1,NA
