id,source_2,trn,registry,cutoff,source_3
tri00001,ictrp,NCT04246242,ClinicalTrials.gov,2,ictrp
tri00002,ictrp,NCT04252885,ClinicalTrials.gov,2,ictrp
tri00003,ictrp,NCT04255940,ClinicalTrials.gov,2,ictrp
tri00004,ictrp,NCT04260308,ClinicalTrials.gov,2,ictrp
tri00005,ictrp,NCT04260594,ClinicalTrials.gov,2,ictrp
tri00006,ictrp,NCT04261426,ClinicalTrials.gov,2,ictrp
tri00007,ictrp,NCT04261907,ClinicalTrials.gov,2,ictrp
tri00008,ictrp,ChiCTR2000029953,ChiCTR,2,ictrp
tri00009,ictrp,ChiCTR2000029949,ChiCTR,2,ictrp
tri00010,ictrp,ChiCTR2000029947,ChiCTR,2,ictrp
tri00011,ictrp,ChiCTR2000029941,ChiCTR,2,ictrp
tri00012,ictrp,ChiCTR2000029939,ChiCTR,2,ictrp
tri00013,ictrp,ChiCTR2000029935,ChiCTR,2,ictrp
tri00014,ictrp,ChiCTR2000029907,ChiCTR,2,ictrp
tri00015,ictrp,ChiCTR2000029905,ChiCTR,2,ictrp
tri00016,ictrp,ChiCTR2000029896,ChiCTR,2,ictrp
tri00017,ictrp,ChiCTR2000029883,ChiCTR,2,ictrp
tri00018,ictrp,ChiCTR2000029870,ChiCTR,2,ictrp
tri00019,ictrp,ChiCTR2000029869,ChiCTR,2,ictrp
tri00020,ictrp,ChiCTR2000029867,ChiCTR,2,ictrp
tri00021,ictrp,ChiCTR2000029855,ChiCTR,2,ictrp
tri00022,ictrp,ChiCTR2000029853,ChiCTR,2,ictrp
tri00023,ictrp,ChiCTR2000029850,ChiCTR,2,ictrp
tri00024,ictrp,ChiCTR2000029849,ChiCTR,2,ictrp
tri00025,ictrp,ChiCTR2000029839,ChiCTR,2,ictrp
tri00026,ictrp,ChiCTR2000029822,ChiCTR,2,ictrp
tri00027,ictrp,ChiCTR2000029821,ChiCTR,2,ictrp
tri00028,ictrp,ChiCTR2000029819,ChiCTR,2,ictrp
tri00029,ictrp,ChiCTR2000029815,ChiCTR,2,ictrp
tri00030,ictrp,ChiCTR2000029814,ChiCTR,2,ictrp
tri00031,ictrp,ChiCTR2000029813,ChiCTR,2,ictrp
tri00032,ictrp,ChiCTR2000029811,ChiCTR,2,ictrp
tri00033,ictrp,ChiCTR2000029810,ChiCTR,2,ictrp
tri00034,ictrp,ChiCTR2000029806,ChiCTR,2,ictrp
tri00035,ictrp,ChiCTR2000029805,ChiCTR,2,ictrp
tri00036,ictrp,ChiCTR2000029804,ChiCTR,2,ictrp
tri00037,ictrp,ChiCTR2000029790,ChiCTR,2,ictrp
tri00038,ictrp,ChiCTR2000029789,ChiCTR,2,ictrp
tri00039,ictrp,ChiCTR2000029788,ChiCTR,2,ictrp
tri00040,ictrp,ChiCTR2000029782,ChiCTR,2,ictrp
tri00041,ictrp,ChiCTR2000029779,ChiCTR,2,ictrp
tri00042,ictrp,ChiCTR2000029778,ChiCTR,2,ictrp
tri00043,ictrp,ChiCTR2000029777,ChiCTR,2,ictrp
tri00044,ictrp,ChiCTR2000029776,ChiCTR,2,ictrp
tri00045,ictrp,ChiCTR2000029769,ChiCTR,2,ictrp
tri00046,ictrp,ChiCTR2000029768,ChiCTR,2,ictrp
tri00047,ictrp,ChiCTR2000029765,ChiCTR,2,ictrp
tri00048,ictrp,ChiCTR2000029764,ChiCTR,2,ictrp
tri00049,ictrp,ChiCTR2000029763,ChiCTR,2,ictrp
tri00050,ictrp,ChiCTR2000029758,ChiCTR,2,ictrp
tri00051,ictrp,ChiCTR2000029756,ChiCTR,2,ictrp
tri00052,ictrp,ChiCTR2000029754,ChiCTR,2,ictrp
tri00053,ictrp,ChiCTR2000029751,ChiCTR,2,ictrp
tri00054,ictrp,ChiCTR2000029747,ChiCTR,2,ictrp
tri00055,ictrp,ChiCTR2000029742,ChiCTR,2,ictrp
tri00056,ictrp,ChiCTR2000029741,ChiCTR,2,ictrp
tri00057,ictrp,ChiCTR2000029739,ChiCTR,2,ictrp
tri00058,ictrp,ChiCTR2000029735,ChiCTR,2,ictrp
tri00059,ictrp,ChiCTR2000029734,ChiCTR,2,ictrp
tri00060,ictrp,ChiCTR2000029732,ChiCTR,2,ictrp
tri00061,ictrp,ChiCTR2000029695,ChiCTR,2,ictrp
tri00062,ictrp,ChiCTR2000029656,ChiCTR,2,ictrp
tri00063,ictrp,ChiCTR2000029639,ChiCTR,2,ictrp
tri00064,ictrp,ChiCTR2000029637,ChiCTR,2,ictrp
tri00065,ictrp,ChiCTR2000029636,ChiCTR,2,ictrp
tri00066,ictrp,ChiCTR2000029628,ChiCTR,2,ictrp
tri00067,ictrp,ChiCTR2000029626,ChiCTR,2,ictrp
tri00068,ictrp,ChiCTR2000029625,ChiCTR,2,ictrp
tri00069,ictrp,ChiCTR2000029624,ChiCTR,2,ictrp
tri00070,ictrp,ChiCTR2000029621,ChiCTR,2,ictrp
tri00071,ictrp,ChiCTR2000029609,ChiCTR,2,ictrp
tri00072,ictrp,ChiCTR2000029606,ChiCTR,2,ictrp
tri00073,ictrp,ChiCTR2000029603,ChiCTR,2,ictrp
tri00074,ictrp,ChiCTR2000029602,ChiCTR,2,ictrp
tri00075,ictrp,ChiCTR2000029601,ChiCTR,2,ictrp
tri00076,ictrp,ChiCTR2000029600,ChiCTR,2,ictrp
tri00077,ictrp,ChiCTR2000029578,ChiCTR,2,ictrp
tri00078,ictrp,ChiCTR2000029572,ChiCTR,2,ictrp
tri00079,ictrp,ChiCTR2000029569,ChiCTR,2,ictrp
tri00080,ictrp,ChiCTR2000029559,ChiCTR,2,ictrp
tri00081,ictrp,ChiCTR2000029558,ChiCTR,2,ictrp
tri00082,ictrp,ChiCTR2000029548,ChiCTR,2,ictrp
tri00083,ictrp,ChiCTR2000029544,ChiCTR,2,ictrp
tri00084,ictrp,ChiCTR2000029542,ChiCTR,2,ictrp
tri00085,ictrp,ChiCTR2000029541,ChiCTR,2,ictrp
tri00086,ictrp,ChiCTR2000029539,ChiCTR,2,ictrp
tri00087,ictrp,ChiCTR2000029518,ChiCTR,2,ictrp
tri00088,ictrp,ChiCTR2000029517,ChiCTR,2,ictrp
tri00089,ictrp,ChiCTR2000029495,ChiCTR,2,ictrp
tri00090,ictrp,ChiCTR2000029493,ChiCTR,2,ictrp
tri00091,ictrp,ChiCTR2000029487,ChiCTR,2,ictrp
tri00092,ictrp,ChiCTR2000029468,ChiCTR,2,ictrp
tri00093,ictrp,ChiCTR2000029462,ChiCTR,2,ictrp
tri00094,ictrp,ChiCTR2000029461,ChiCTR,2,ictrp
tri00095,ictrp,ChiCTR2000029460,ChiCTR,2,ictrp
tri00096,ictrp,ChiCTR2000029459,ChiCTR,2,ictrp
tri00097,ictrp,ChiCTR2000029439,ChiCTR,2,ictrp
tri00098,ictrp,ChiCTR2000029438,ChiCTR,2,ictrp
tri00099,ictrp,ChiCTR2000029437,ChiCTR,2,ictrp
tri00100,ictrp,ChiCTR2000029436,ChiCTR,2,ictrp
tri00101,ictrp,ChiCTR2000029435,ChiCTR,2,ictrp
tri00102,ictrp,ChiCTR2000029432,ChiCTR,2,ictrp
tri00103,ictrp,ChiCTR2000029431,ChiCTR,2,ictrp
tri00104,ictrp,ChiCTR2000029430,ChiCTR,2,ictrp
tri00105,ictrp,ChiCTR2000029418,ChiCTR,2,ictrp
tri00106,ictrp,ChiCTR2000029400,ChiCTR,2,ictrp
tri00107,ictrp,ChiCTR2000029381,ChiCTR,2,ictrp
tri00108,ictrp,NCT04268537,ClinicalTrials.gov,2,ictrp
tri00109,ictrp,ChiCTR2000030188,ChiCTR,2,ictrp
tri00110,ictrp,ChiCTR2000030185,ChiCTR,2,ictrp
tri00111,ictrp,ChiCTR2000030179,ChiCTR,2,ictrp
tri00112,ictrp,ChiCTR2000030173,ChiCTR,2,ictrp
tri00113,ictrp,ChiCTR2000030170,ChiCTR,2,ictrp
tri00114,ictrp,ChiCTR2000030167,ChiCTR,2,ictrp
tri00115,ictrp,ChiCTR2000030166,ChiCTR,2,ictrp
tri00116,ictrp,ChiCTR2000030165,ChiCTR,2,ictrp
tri00117,ictrp,ChiCTR2000030164,ChiCTR,2,ictrp
tri00118,ictrp,ChiCTR2000030138,ChiCTR,2,ictrp
tri00119,ictrp,ChiCTR2000030137,ChiCTR,2,ictrp
tri00120,reg,NCT04283825,ClinicalTrials.gov,1,reg
tri00120,ictrp,ChiCTR2000030136,ChiCTR,1,ictrp
tri00121,ictrp,ChiCTR2000030118,ChiCTR,2,ictrp
tri00122,ictrp,ChiCTR2000030117,ChiCTR,2,ictrp
tri00123,ictrp,ChiCTR2000030116,ChiCTR,2,ictrp
tri00124,ictrp,ChiCTR2000030115,ChiCTR,2,ictrp
tri00125,ictrp,ChiCTR2000030113,ChiCTR,2,ictrp
tri00126,ictrp,ChiCTR2000030102,ChiCTR,2,ictrp
tri00127,ictrp,ChiCTR2000030096,ChiCTR,2,ictrp
tri00128,ictrp,ChiCTR2000030094,ChiCTR,2,ictrp
tri00129,ictrp,ChiCTR2000030093,ChiCTR,2,ictrp
