trns,ids,row_keep,id_final,comments
NCT04283825; ChiCTR2000030136,tri00120 (FALSE); tri07287 (TRUE),TRUE,tri07287,NA
ChiCTR2000030480; NCT04293887,tri00300 (TRUE),FALSE,NA,NA
ChiCTR2000030480; NCT04293887,tri00300 (TRUE); tri00327 (TRUE),TRUE,tri00327,NA
NCT04293887,tri00300 (TRUE); tri00327 (TRUE),FALSE,NA,NA
ChiCTR2000030906; NCT04313127,tri00516 (TRUE),FALSE,NA,NA
ChiCTR2000030906; NCT04313127,tri00516 (TRUE); tri02014 (TRUE),TRUE,tri02014,NA
ChiCTR2000031319; NCT04336254,tri00569 (TRUE),FALSE,NA,NA
ChiCTR2000031319; NCT04336254,tri00569 (TRUE); tri00766 (TRUE),TRUE,tri00766,NA
EUCTR2020-001281-11,tri00649 (FALSE); tri06094 (TRUE),FALSE,NA,NA
EUCTR2020-001010-38; NCT04316377,tri00651 (TRUE),FALSE,NA,NA
EUCTR2020-001010-38; NCT04316377,tri00651 (TRUE); tri02934 (TRUE),TRUE,tri02934,NA
ChiCTR2000031781; NCT04341389,tri00699 (TRUE),FALSE,NA,NA
ChiCTR2000031781; NCT04341389,tri00699 (TRUE); tri02023 (TRUE),TRUE,tri02023,NA
EUCTR2020-001442-19,tri00719 (FALSE); tri00757 (TRUE),FALSE,NA,NA
EUCTR2020-001385-11,tri00720 (FALSE); tri01281 (TRUE),FALSE,NA,NA
NCT04332094; EUCTR2020-001442-19,tri00757 (TRUE),FALSE,NA,NA
NCT04332094; EUCTR2020-001442-19,tri00719 (FALSE); tri00757 (TRUE),TRUE,tri00757,NA
NCT04336254,tri00569 (TRUE); tri00766 (TRUE),FALSE,NA,NA
EUCTR2020-001160-28,tri00833 (FALSE); tri02937 (TRUE),FALSE,NA,NA
EUCTR2020-001587-29,tri00840 (FALSE); tri02535 (TRUE),FALSE,NA,NA
EUCTR2020-001689-12,tri00841 (FALSE); tri03026 (TRUE),FALSE,NA,NA
EUCTR2020-001266-11,tri00845 (TRUE); tri00992 (TRUE),FALSE,NA,NA
NCT04324047; EUCTR2020-001246-18,tri00659 (FALSE),TRUE,tri00659,NA
NCT04324047; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
EUCTR2020-001246-18; NCT04324073,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04324073,tri00908 (TRUE),TRUE,tri00908,NA
NCT04341584,tri00931 (TRUE),TRUE,tri00931,NA
NCT04341584; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04343144,tri00937 (TRUE),TRUE,tri00937,NA
NCT04343144; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04344756,tri00953 (TRUE),TRUE,tri00953,NA
NCT04344756; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04344782,tri00954 (TRUE),TRUE,tri00954,NA
NCT04344782; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04331808,tri01097 (TRUE),TRUE,tri01097,NA
NCT04331808; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04346797,tri01116 (TRUE),TRUE,tri01116,NA
NCT04346797; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04345991,tri05354 (TRUE),TRUE,tri05354,NA
EUCTR2020-001246-18; NCT04345991,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04476979,tri05726 (TRUE),TRUE,tri05726,NA
NCT04476979; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04341870,tri01493 (TRUE),TRUE,tri01493,NA
NCT04341870; EUCTR2020-001246-18,tri00659 (FALSE); tri00908 (TRUE); tri00931 (TRUE); tri00937 (TRUE); tri00953 (TRUE); tri00954 (TRUE); tri01097 (TRUE); tri01116 (TRUE); tri01493 (TRUE); tri05354 (TRUE); tri05726 (TRUE),FALSE,NA,NA
NCT04348461; EUCTR2020-001266-11,tri00992 (TRUE),FALSE,NA,NA
NCT04348461; EUCTR2020-001266-11,tri00845 (TRUE); tri00992 (TRUE),TRUE,tri00992,NA
EUCTR2020-001951-42; NCT04351763,tri01014 (TRUE); tri02440 (FALSE),TRUE,tri01014,NA
EUCTR2020-001951-42; NCT04351763,tri01014 (TRUE),FALSE,NA,NA
EUCTR2020-001255-40,tri01075 (FALSE); tri07171 (TRUE),FALSE,NA,NA
EUCTR2020-001500-41,tri01082 (FALSE); tri01096 (TRUE),FALSE,NA,NA
NCT04330638; EUCTR2020-001500-41,tri01096 (TRUE),FALSE,NA,NA
NCT04330638; EUCTR2020-001500-41,tri01082 (FALSE); tri01096 (TRUE),TRUE,tri01096,NA
NCT04357613; EUCTR2020-001251-41,tri01153 (TRUE); tri08270 (TRUE),TRUE,tri01153,NA
CTRI/2020/05/025271; NCT04358809,tri01167 (TRUE); tri04528 (FALSE),TRUE,tri01167,NA
CTRI/2020/05/025271; NCT04358809,tri01167 (TRUE),FALSE,NA,NA
NCT04359290; EUCTR2020-001732-10,tri01170 (TRUE),FALSE,NA,NA
NCT04359290; EUCTR2020-001732-10,tri01170 (TRUE); tri02236 (FALSE),TRUE,tri01170,NA
NCT04322396; EUCTR2020-001198-55,tri01265 (TRUE); tri01798 (TRUE),TRUE,tri01798,NA
NCT04322396; EUCTR2020-001198-55,tri01265 (TRUE),FALSE,NA,NA
EUCTR2020-001823-15,tri01267 (FALSE); tri06081 (FALSE),FALSE,NA,NA
NCT04334928; EUCTR2020-001385-11,tri01281 (TRUE),FALSE,NA,NA
NCT04334928; EUCTR2020-001385-11,tri00720 (FALSE); tri01281 (TRUE),TRUE,tri01281,NA
EUCTR2020-001635-27,tri01398 (FALSE); tri06787 (TRUE),FALSE,NA,NA
EUCTR2020-001766-11,tri01399 (FALSE); tri06911 (FALSE),FALSE,NA,NA
EUCTR2020-001709-21,tri01401 (FALSE); tri03368 (TRUE),FALSE,NA,NA
EUCTR2020-001598-66,tri01403 (FALSE); tri01930 (TRUE),FALSE,NA,NA
NCT04331808; EUCTR2020-001246-18,tri01404 (FALSE); tri01922 (TRUE); tri03940 (TRUE),FALSE,NA,NA
EUCTR2020-001953-36,tri01418 (FALSE); tri05886 (TRUE),FALSE,NA,NA
NCT04280705; EUCTR2020-001052-18; JPRN-jRCT2031190264; ISRCTN13035264,tri01483 (TRUE),FALSE,NA,NA
CTRI/2020/05/024959; NCT04475588,tri01763 (TRUE); tri05711 (TRUE),TRUE,tri05711,NA
NCT04322396,tri01265 (TRUE); tri01798 (TRUE),FALSE,NA,NA
NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228,tri01805 (TRUE),FALSE,NA,NA
NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228,tri01805 (TRUE); tri01827 (TRUE),TRUE,tri01805,NA
NCT04346199; PER-018-20; EUCTR2020-001644-25; CTRI/2020/06/026228,tri01805 (TRUE); tri04697 (FALSE),FALSE,NA,NA
NCT04380688; EUCTR2020-001644-25,tri01827 (TRUE),FALSE,NA,NA
NCT04380688; EUCTR2020-001644-25,tri01805 (TRUE); tri01827 (TRUE),FALSE,NA,NA
NCT04380688,tri01827 (TRUE),TRUE,tri01827,"i added this row. us cohort of related trial but not mentioned in other registrations, so considered separate trial."
EUCTR2020-002130-33; NCT04382755,tri01856 (TRUE); tri02443 (FALSE),TRUE,tri01856,NA
EUCTR2020-002130-33; NCT04382755,tri01856 (TRUE),FALSE,NA,NA
NCT04362085,tri01906 (TRUE); tri03604 (TRUE),FALSE,NA,NA
