ids,trns
tri00120 (FALSE); tri07287 (TRUE),NCT04283825; ChiCTR2000030136
tri00300 (TRUE),ChiCTR2000030480; NCT04293887
tri00300 (TRUE); tri00327 (TRUE),ChiCTR2000030480; NCT04293887
tri00300 (TRUE); tri00327 (TRUE),NCT04293887
tri00516 (TRUE),ChiCTR2000030906; NCT04313127
tri00516 (TRUE); tri02014 (TRUE),ChiCTR2000030906; NCT04313127
tri00569 (TRUE),ChiCTR2000031319; NCT04336254
tri00569 (TRUE); tri00766 (TRUE),ChiCTR2000031319; NCT04336254
tri00649 (FALSE); tri06094 (TRUE),EUCTR2020-001281-11
tri00651 (TRUE),EUCTR2020-001010-38; NCT04316377
tri00651 (TRUE); tri02934 (TRUE),EUCTR2020-001010-38; NCT04316377
tri00699 (TRUE),ChiCTR2000031781; NCT04341389
tri00699 (TRUE); tri02023 (TRUE),ChiCTR2000031781; NCT04341389
tri00718 (FALSE); tri08446 (TRUE),EUCTR2020-001381-11
tri00719 (FALSE); tri00757 (TRUE),EUCTR2020-001442-19
tri00720 (FALSE); tri01281 (TRUE),EUCTR2020-001385-11
tri00757 (TRUE),NCT04332094; EUCTR2020-001442-19
tri00719 (FALSE); tri00757 (TRUE),NCT04332094; EUCTR2020-001442-19
tri00569 (TRUE); tri00766 (TRUE),NCT04336254
tri00833 (FALSE); tri02937 (TRUE),EUCTR2020-001160-28
tri00840 (FALSE); tri02535 (TRUE),EUCTR2020-001587-29
tri00841 (FALSE); tri03026 (TRUE),EUCTR2020-001689-12
tri00845 (TRUE); tri00992 (TRUE),EUCTR2020-001266-11
tri00985 (TRUE); tri03027 (TRUE),NCT04347941
tri00992 (TRUE),NCT04348461; EUCTR2020-001266-11
tri00845 (TRUE); tri00992 (TRUE),NCT04348461; EUCTR2020-001266-11
tri01014 (TRUE); tri02440 (FALSE),EUCTR2020-001951-42; NCT04351763
tri01014 (TRUE),EUCTR2020-001951-42; NCT04351763
tri01075 (FALSE); tri07171 (TRUE),EUCTR2020-001255-40
tri01082 (FALSE); tri01096 (TRUE),EUCTR2020-001500-41
tri01096 (TRUE),NCT04330638; EUCTR2020-001500-41
tri01082 (FALSE); tri01096 (TRUE),NCT04330638; EUCTR2020-001500-41
