trn,registry,date_registration,date_enrollement,retrospective_registration,recruitment_status,phase,study_type,countries,public_title,target_enrollment,web_address,euctr_country
IRCT20180223038837N1,IRCT,2018-12-08,2018-10-23,TRUE,Recruiting,Not Applicable,Interventional,Iran,Comparative study of radiofrequency ablation & foam sclerotherapy for treatment patients suffering from varicose veins,60,http://en.irct.ir/trial/32039,NA
NCT04246242,ClinicalTrials.gov,2020-01-27,2020-01-25,TRUE,Not Recruiting,Phase 4,Interventional,No Country Given,A Randomized Multicenter Controlled Clinical Trial of Arbidol in Patients With 2019 Novel Coronavirus (2019-nCoV),500,https://clinicaltrials.gov/show/NCT04246242,NA
ChiCTR2000029953,ChiCTR,2020-02-17,2020-02-01,TRUE,Not Recruiting,Not Applicable,Observational,China,Construction and Analysis of Prognostic Predictive Model of Novel Coronavirus Pneumonia (COVID-19),400,http://www.chictr.org.cn/showproj.aspx?proj=49217,NA
ChiCTR2000029949,ChiCTR,2020-02-16,2020-02-16,FALSE,Not Recruiting,Not Applicable,Observational,China,A Medical Records Based Study for the Effectiveness of Extracorporeal Membrane Oxygenation in Patients with Severe Novel Coronavirus Pneumonia (COVID-19),40,http://www.chictr.org.cn/showproj.aspx?proj=49181,NA
ChiCTR2000029947,ChiCTR,2020-02-16,2020-03-01,FALSE,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),200,http://www.chictr.org.cn/showproj.aspx?proj=49599,NA
ChiCTR2000029941,ChiCTR,2020-02-16,2020-03-01,FALSE,Not Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19),200,http://www.chictr.org.cn/showproj.aspx?proj=49596,NA
ChiCTR2000029939,ChiCTR,2020-02-16,2020-02-10,TRUE,Recruiting,Not Applicable,Interventional,China,"A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=49612,NA
ChiCTR2000029935,ChiCTR,2020-02-16,2020-02-06,TRUE,Recruiting,Not Applicable,Interventional,China,A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49607,NA
ChiCTR2000029907,ChiCTR,2020-02-16,2020-02-16,FALSE,Not Recruiting,Not Applicable,Observational,China,Study for construction and assessment of early warning score of the clinical risk of novel coronavirus (COVID-19) infected patients,1000,http://www.chictr.org.cn/showproj.aspx?proj=49587,NA
ChiCTR2000029905,ChiCTR,2020-02-16,2020-02-10,TRUE,Recruiting,Not Applicable,Observational,China,A medical records based study of novel coronavirus pneumonia (COVID-19) and influenza virus co-infection,271,http://www.chictr.org.cn/showproj.aspx?proj=49595,NA
ChiCTR2000029896,ChiCTR,2020-02-16,2020-01-31,TRUE,Recruiting,Not Applicable,Observational,China,Evaluate the effectiveness of Traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49432,NA
ChiCTR2000029883,ChiCTR,2020-02-16,2020-02-17,FALSE,Not Recruiting,Not Applicable,Diagnostic test,China,A comparative study on the sensitivity of nasopharyngeal and oropharyngeal swabbing for the detection of SARS-CoV-2 by real-time PCR,200,http://www.chictr.org.cn/showproj.aspx?proj=49549,NA
ChiCTR2000029870,ChiCTR,2020-02-15,2020-02-15,FALSE,Recruiting,Not Applicable,Diagnostic test,China,Evaluation of Rapid Diagnostic Kit (IgM/IgG) for Novel Coronavirus Pneumonia (COVID-19),500,http://www.chictr.org.cn/showproj.aspx?proj=49563,NA
ChiCTR2000029869,ChiCTR,2020-02-15,2020-02-10,TRUE,Not Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, controlled trial for integrated Chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (COVID-19) based on the ' Internal and External Relieving -Truncated Torsion' strategy",300,http://www.chictr.org.cn/showproj.aspx?proj=49486,NA
ChiCTR2000029867,ChiCTR,2020-02-15,2020-02-15,FALSE,Recruiting,Phase 4,Interventional,China,"The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",520,http://www.chictr.org.cn/showproj.aspx?proj=49514,NA
ChiCTR2000029855,ChiCTR,2020-02-15,2020-02-15,FALSE,Recruiting,Not Applicable,Interventional,China,"A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)",180,http://www.chictr.org.cn/showproj.aspx?proj=49543,NA
ChiCTR2000029853,ChiCTR,2020-02-15,2020-02-16,FALSE,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",20,http://www.chictr.org.cn/showproj.aspx?proj=49532,NA
ChiCTR2000029850,ChiCTR,2020-02-15,2020-02-15,FALSE,Recruiting,Not Applicable,Interventional,China,Study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19),20,http://www.chictr.org.cn/showproj.aspx?proj=49533,NA
ChiCTR2000029849,ChiCTR,2020-02-15,2020-02-01,TRUE,Recruiting,Not Applicable,Interventional,China,Application of Regulating Intestinal Flora in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=49530,NA
ChiCTR2000029839,ChiCTR,2020-02-15,2020-02-10,TRUE,Recruiting,Not Applicable,Observational,China,"An observational study on the clinical characteristics, treatment and outcome of novel coronavirus pneumonia (COVID-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=49439,NA
ChiCTR2000029821,ChiCTR,2020-02-14,2020-02-14,FALSE,Not Recruiting,Not Applicable,Prevention,China,Based on Delphi Method to Preliminarily Construct a Recommended Protocol for the Prevention of Novel Coronavirus Pneumonia (COVID-19) in Deyang Area by Using Chinese Medicine Technology and its Clinical Application Evaluation,400,http://www.chictr.org.cn/showproj.aspx?proj=49306,NA
ChiCTR2000029819,ChiCTR,2020-02-14,2020-02-11,TRUE,Recruiting,Phase 4,Interventional,China,Ba-Bao-Dan in the adjuvant therapy of novel coronavirus pneumonia (COVID-19) patients,80,http://www.chictr.org.cn/showproj.aspx?proj=49490,NA
ChiCTR2000029815,ChiCTR,2020-02-14,2020-02-01,TRUE,Recruiting,Not Applicable,Observational,China,Psychological survey of frontline medical staff in various regions of China during the epidemic of novel coronavirus pneumonia (COVID-19),800,http://www.chictr.org.cn/showproj.aspx?proj=49346,NA
ChiCTR2000029814,ChiCTR,2020-02-14,2020-02-14,FALSE,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19),30,http://www.chictr.org.cn/showproj.aspx?proj=49387,NA
ChiCTR2000029813,ChiCTR,2020-02-14,2020-02-14,FALSE,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19),72,http://www.chictr.org.cn/showproj.aspx?proj=49425,NA
ChiCTR2000029811,ChiCTR,2020-02-14,2020-02-20,FALSE,Not Recruiting,Not Applicable,Interventional,No Country Given,Clinical Study for Anti-aging Active Freeze-dried Powder Granules in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=49355,NA
ChiCTR2000029810,ChiCTR,2020-02-14,2020-02-16,FALSE,Recruiting,Not Applicable,Diagnostic test,China,Clinical study of a novel high sensitivity nucleic acid assay for novel coronavirus pneumonia (COVID-19) based on CRISPR-cas protein,10000,http://www.chictr.org.cn/showproj.aspx?proj=49407,NA
ChiCTR2000029806,ChiCTR,2020-02-14,2020-02-12,TRUE,Recruiting,Not Applicable,Interventional,China,Immunomodulatory Therapy for Severe Novel Coronavirus Pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=49161,NA
ChiCTR2000029805,ChiCTR,2020-02-14,2020-02-12,TRUE,Recruiting,Not Applicable,Observational,China,Analysis of clinical characteristics of severe novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49188,NA
ChiCTR2000029804,ChiCTR,2020-02-14,2020-02-12,TRUE,Recruiting,Not Applicable,Prognosis,China,Clinical Application of ECMO in the Treatment of Patients with Very Serious Respiratory Failure due to novel Coronavirus Pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49178,NA
ChiCTR2000029790,ChiCTR,2020-02-13,2020-02-17,FALSE,Recruiting,Not Applicable,Interventional,China,Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=49453,NA
ChiCTR2000029789,ChiCTR,2020-02-13,2020-02-15,FALSE,Recruiting,Not Applicable,Interventional,China,Randomized controlled trial for TCM syndrome differentiation treatment impacting quality of life of post-discharge patients with novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49348,NA
ChiCTR2000029788,ChiCTR,2020-02-13,2020-03-01,FALSE,Not Recruiting,Not Applicable,Interventional,China,Traditional Chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (COVID-19): a randomized controlled trial,60,http://www.chictr.org.cn/showproj.aspx?proj=49452,NA
ChiCTR2000029782,ChiCTR,2020-02-13,2020-01-30,TRUE,Not Recruiting,Not Applicable,Observational,China,Clinical study for the changes in mental state of medical staff in the department of radiotherapy in a comprehensive tertiary hospital in Zhejiang Province during the epidemic of novel coronavirus infection (COVID-19),27,http://www.chictr.org.cn/showproj.aspx?proj=49445,NA
ChiCTR2000029779,ChiCTR,2020-02-13,2020-02-14,FALSE,Recruiting,Not Applicable,Diagnostic test,China,Study for the key issues of the diagnosis and treatment of novel coronavirus pneumonia (COVID-19) based on the medical imaging,0,http://www.chictr.org.cn/showproj.aspx?proj=49378,NA
ChiCTR2000029778,ChiCTR,2020-02-13,2020-02-14,FALSE,Recruiting,Not Applicable,Interventional,China,Clinical Study for Traditional Chinese Medicine Combined With Western Medicine in Treatment of Novel Coronavirus Pneumonia (COVID-19),600,http://www.chictr.org.cn/showproj.aspx?proj=49422,NA
ChiCTR2000029777,ChiCTR,2020-02-13,2020-02-05,TRUE,Recruiting,Not Applicable,Interventional,China,"A multicenter, randomized, controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19) based on the 'Truncated Torsion' strategy",160,http://www.chictr.org.cn/showproj.aspx?proj=49380,NA
