id,trn,type,control_type,placebo_plus_soc,category,intervention,intervention_plus_soc
tri00074,ChiCTR2000029602,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri00074,ChiCTR2000029602,control,undefined_soc,NA,NA,NA,NA
tri00065,ChiCTR2000029636,experimental,NA,NA,biologics,Viral macrophage inflammatory protein,undefined_soc
tri00075,ChiCTR2000029601,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri00075,ChiCTR2000029601,control,undefined_soc,NA,NA,NA,NA
tri00142,ChiCTR2000030041,experimental,NA,NA,drug,Azivudine,no
tri00241,ChiCTR2000030219,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri02773,IRCT20200314046774N1,experimental,NA,NA,drug,Vitamin A,no
tri02773,IRCT20200314046774N1,control,placebo,no,NA,NA,NA
tri00884,JPRN-JapicCTI-205238,experimental,NA,NA,drug,Favipiravir,no
tri00884,JPRN-JapicCTI-205238,control,placebo,no,NA,NA,NA
tri01658,IRCT20200409047007N1,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri01658,IRCT20200409047007N1,control,undefined_soc,NA,NA,NA,NA
tri04042,ACTRN12620000817943,control,placebo,no,NA,NA,NA
tri04042,ACTRN12620000817943,experimental,NA,NA,vaccine_covid,HBsAg VLP Vaccine,no
tri04042,ACTRN12620000817943,experimental,NA,NA,vaccine_covid,HBsAg VLP Vaccine,no
tri03168,ISRCTN89951424,control,other_unknown,NA,NA,NA,NA
tri00820,ChiCTR2000031955,control,undefined_soc,NA,NA,NA,NA
tri00820,ChiCTR2000031955,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri00820,ChiCTR2000031955,experimental,NA,NA,drug,Unspecified spray,undefined_soc
tri00820,ChiCTR2000031955,experimental,NA,NA,traditional_medicine,Traditional Medicine,undefined_soc
tri04220,ISRCTN16842454,experimental,NA,NA,biologics,Convalescent Plasma,undefined_soc
tri04220,ISRCTN16842454,control,other_unknown,NA,NA,NA,NA
