id,date_completion,estimated,type,date_completion_type
tri00894,2020-04-10,NA,reported,pcd
tri02445,2020-05-20,NA,reported,scd
tri03748,2020-09-02,NA,reported,scd
tri03499,2021-02-23,NA,reported,scd
tri03558,2020-06-01,NA,reported,scd
tri00635,2020-03-25,NA,reported,unclear_cd
tri02448,2020-06-02,NA,reported,pcd
tri02559,2020-07-21,NA,reported,pcd
tri01424,2020-04-30,NA,reported,scd
tri03458,2020-07-08,NA,reported,unclear_cd
tri06156,2021-02-22,NA,reported,pcd
tri06932,2020-09-01,TRUE,reported,pcd
tri02384,2020-12-21,NA,reported,pcd
tri01658,2020-06-27,NA,reported,scd
tri01919,2020-03-23,NA,reported,scd
tri03183,2020-06-30,TRUE,reported,scd
tri00106,2020-03-23,NA,reported,pcd
tri00675,2021-03-31,NA,reported,pcd
tri00801,2021-05-01,NA,reported,unclear_cd
tri04057,2020-07-10,NA,reported,scd
tri04551,2020-08-11,NA,reported,pcd
tri02450,2021-03-15,NA,reported,scd
tri05533,2021-02-15,NA,reported,pcd
tri05695,2020-07-12,NA,reported,pcd
tri02067,2020-05-31,TRUE,reported,scd
tri06059,2021-02-04,NA,reported,scd
tri01006,2020-08-31,TRUE,reported,unclear_cd
tri04698,2020-09-30,TRUE,reported,pcd
tri04826,2020-09-11,NA,reported,pcd
tri02934,2020-05-25,NA,reported,scd
tri02910,2020-12-31,TRUE,reported,scd
tri00776,2020-06-02,NA,reported,pcd
tri00137,2020-05-25,NA,reported,scd
tri01227,2020-08-20,NA,reported,scd
tri05811,2020-12-19,NA,reported,pcd
tri03200,2020-04-15,NA,reported,scd
tri06788,2020-09-30,TRUE,reported,scd
tri02080,2020-06-15,NA,reported,scd
tri03057,2020-09-22,NA,reported,pcd
tri01787,2020-07-03,NA,reported,scd
tri05743,2020-10-25,NA,reported,scd
tri02513,2020-07-31,TRUE,reported,scd
tri03223,2020-08-31,TRUE,reported,scd
tri02391,2020-07-20,NA,reported,pcd
tri05526,2020-10-10,NA,reported,scd
tri05858,2020-07-31,TRUE,reported,unclear_cd
tri06157,2021-04-17,NA,reported,scd
