id,date_completion_rcd_latest,date_completion_rcd_latest_pre_cutoff,date_completion_last_updated_exclude_missing_update_date,date_completion_last_updated_prefer_euctr,status_complete_last_updated_prefer_euctr,date_completion_ictrp,date_completion_22_21_last_updated_prefer_euctr,date_completion_study_last_updated_prefer_euctr,date_completion_results
tri00001,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri00002,2020-04-30,2020-04-30,2020-04-30,2020-04-30,TRUE,2020-04-30,2020-04-30,2020-05-31,2020-04-18
tri00005,2020-07-01,2020-07-01,2020-07-01,2020-07-01,FALSE,2020-07-01,2020-03-12,2020-12-30,NA
tri00006,2020-04-30,2020-04-30,2020-04-30,2020-04-30,FALSE,2020-04-30,2020-04-30,2020-06-30,NA
tri00007,2020-05-31,2020-05-31,2020-05-31,2020-05-31,FALSE,2020-05-31,2020-05-31,2020-06-30,NA
tri00010,2020-06-01,2020-06-01,2020-06-01,2020-06-01,FALSE,2020-06-01,2020-06-01,2020-06-01,NA
tri00011,2020-06-01,2020-06-01,2020-06-01,2020-06-01,FALSE,2020-06-01,2020-06-01,2020-06-01,NA
tri00012,2021-02-06,2021-02-06,2021-02-06,2021-02-06,FALSE,2021-02-06,2021-02-06,2021-02-06,NA
tri00013,2021-02-06,2021-02-06,2021-02-06,2021-02-06,FALSE,2021-02-06,2021-02-06,2021-02-06,NA
tri00019,2020-06-30,2020-06-30,2020-06-30,2020-06-30,FALSE,2020-06-30,2020-06-30,2020-06-30,NA
tri00020,2021-02-28,2021-02-28,2021-02-28,2021-02-28,FALSE,2021-02-28,2021-02-28,2021-02-28,NA
tri00021,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri00022,2020-04-16,2020-04-16,2020-04-16,2020-04-16,FALSE,2020-04-16,2020-04-16,2020-04-16,NA
tri00023,2022-02-15,NA,2022-02-15,2022-02-15,FALSE,2022-02-15,2022-02-15,2022-02-15,NA
tri00024,2021-02-01,2021-02-01,2021-02-01,2021-02-01,FALSE,2021-02-01,2021-02-01,2021-02-01,NA
tri00026,2020-04-30,2020-04-30,2020-04-30,2020-04-30,FALSE,2020-04-30,2020-04-30,2020-04-30,NA
tri00028,2020-08-11,2020-08-11,2020-08-11,2020-08-11,FALSE,2020-08-11,2020-08-11,2020-08-11,NA
