id,trn_extracted,dual_coded,timestamp_finished,incidental_screening,incidental_screening_changes,incidental_screening_comment,comments
tri00635,ChiCTR2000031494,TRUE,2021-10-14T08:08:11Z,NA,NA,NA,"Unclear whether date in both pubs is completion date: This study was a single-center open-label, individually randomized, standard treatment-controlled trial conducted at Huangshi Hospital of Traditional Chinese Medicine in Hubei Province from Feb 12 to March 25, 2020"
tri03049,NCT04351152,TRUE,2021-10-14T08:11:48Z,NA,NA,NA,Recent press release on results so maybe publication soon
tri03365,NCT04371822,TRUE,2021-10-07T06:10:26Z,NA,NA,NA,NA
tri02287,NCT04400799,TRUE,2021-10-07T05:10:41Z,NA,NA,NA,NA
tri02371,NCT04403243,TRUE,2021-10-07T05:13:30Z,NA,NA,NA,NA
tri02490,NCT04405544,TRUE,2021-10-07T05:27:47Z,NA,NA,NA,NA
tri05983,NCT04508439,TRUE,2021-10-07T05:23:01Z,NA,NA,NA,NA
tri06493,NCT04577378,TRUE,2021-10-07T05:12:07Z,NA,NA,NA,NA
tri00803,ACTRN12620000468921,TRUE,2021-10-07T07:29:39Z,NA,NA,NA,NA
tri00893,NCT04252664,TRUE,2021-10-07T07:28:17Z,NA,NA,NA,NA
tri00006,NCT04261426,TRUE,2021-10-14T08:35:17Z,TRUE,FALSE,"Unclear whether the trial was withdrawn. Preprint at doi.org/10.2139/ssrn.3696870 indicates trial not preformed: 'Early this year, we initiated a randomized controlled trials in China, to evaluate the benefit of high-dose IVIg in severe COVID-19 patients comparing with standard care (NCT04261426). Unfortunately, the randomization was not carried out due to force majeure at that time in China. However, high-dose IVIg was used as planned in severe COVID-19 patients in participating centers.' However, another study (published in Nov 2020) indicates it is ongoing: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665876/ 'There are two ongoing clinical trials (NCT04411667 and NCT04261426) that are evaluating the effectiveness of administering high dose of IVIg in confirmed SARS-CoV-2 patients.'","Incidental screening. Preprint at doi.org/10.2139/ssrn.3696870 indicates trial not preformed: Early this year, we initiated a randomized controlled trials in China, to evaluate the benefit of high-dose IVIg in severe COVID-19 patients comparing with standard care (NCT04261426). Unfortunately, the randomization was not carried out due to force majeure at that time in China. However, high-dose IVIg was used as planned in severe COVID-19 patients in participating centers.\n\nPeter (2021-04-04) However, this study still refers to it as ongoing (published in Nov 2020): https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665876/  There are two ongoing clinical trials (NCT04411667 and NCT04261426) that are evaluating the effectiveness of administering high dose of IVIg in confirmed SARS-CoV-2 patients."
tri06492,NCT04577235,TRUE,2021-10-14T08:25:20Z,NA,NA,NA,Diagnostic and not really intervention trial. They compared ultrasound and CT scores
tri06786,NCT04622826,TRUE,2021-10-06T02:39:29Z,NA,NA,NA,NA
tri02130,NCT04384445,TRUE,2021-10-14T08:37:54Z,NA,NA,NA,NA
tri00303,ChiCTR2000030475,TRUE,2021-10-07T07:27:46Z,NA,NA,NA,NA
tri00445,ChiCTR2000030476,TRUE,2021-10-07T07:31:05Z,NA,NA,NA,rehab trial which we exclude. No acute outcomes.
tri01648,IRCT20180129038542N1,TRUE,2021-10-07T04:40:31Z,NA,NA,NA,NA
tri02245,NCT04331600,TRUE,2021-10-07T05:08:16Z,NA,NA,NA,https://www.umed.wroc.pl/content/wroclaw-corona-study-2020 website of the study
tri01324,NCT04366180,TRUE,2021-10-07T04:35:10Z,NA,NA,NA,NA
tri01974,NCT04390139,TRUE,2021-10-07T04:47:14Z,TRUE,FALSE,In a publication from Jan 2021 the trial is described to as ready to go but likely did not kick off yet: 'We have designed and completed all administrative and regulatory procedures needed to initiate a phase I/II clinical trial (COVIDMES; clinicaltrials.gov identifier: NCT04390139) to assess the efficacy and safety of Wharton's jelly MSC in patients with COVID-19 ARDS with the participation of five Catalan hospitals. We will begin to prepare production of new batches of such cells should this trial prove effective.' see: https://europepmc.org/article/MED/33539280,"Tjada searched after Peter, They now updated registry entry, no full search needed - completion date now in 2021."
tri00181,ChiCTR2000029956,TRUE,2021-10-14T08:28:02Z,NA,NA,NA,"The objectives here are: Increased resistance during recovery of cured patients of COVID-19, reducing and reducing the risk of repeated infection with COVID-19. \n\nThis has a prevention component for reinfection but it's mainly a study about rehab."
tri00416,ChiCTR2000030720,TRUE,2021-10-07T07:29:52Z,NA,NA,NA,"Once again, it's for patients in &quot;recovery&quot; so no really treatment or prevention"
tri00513,ChiCTR2000030922,TRUE,2021-10-07T07:31:36Z,NA,NA,NA,NA
tri02209,ChiCTR2000033286,TRUE,2021-10-07T05:05:43Z,NA,NA,NA,NA
tri04006,JPRN-UMIN000040837,TRUE,2021-10-07T08:47:57Z,NA,NA,NA,NA
tri04701,CTRI/2020/06/026220,TRUE,2021-10-07T06:29:15Z,NA,NA,NA,NA
tri00894,NCT04257656,TRUE,2021-10-14T08:32:21Z,NA,NA,NA,NA
tri00895,NCT04273646,TRUE,2021-10-07T07:27:51Z,NA,NA,NA,NA
tri02082,NCT04393961,TRUE,2021-10-07T04:55:05Z,NA,NA,NA,Diagnostic
tri06469,NCT04573270,TRUE,2021-10-07T05:13:30Z,NA,NA,NA,NA
tri00424,ChiCTR2000030703,TRUE,2021-10-07T07:30:24Z,TRUE,FALSE,"The protocol makes it clear this research is ongoing:\n\nTrial registration number is ChiCTR2000030703 (version 1.7 as of March 19, 2020). The recruitment is ongoing, and the date recruitment was initiated in June 2020. The anticipated date of the end of data collection is June 2021.",NA
tri01243,ISRCTN83971151,TRUE,2022-03-03T02:23:03Z,NA,NA,NA,"There is some weirdness about DISCOVERY and its role in SOLIDARITY and whether we should consider it it's own trial or just the French wing of SOLIDARITY. See the DISCOVERY protocol:\nhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC7507250/\n\nAlso in the NEJM SOLIDARITY publication they give the ClinicalTrials.gov ID for DISCOVERY alongside SOLIDARITY. It looks like DISCOVERY feeds data to SOLIDARITY through a common protocol but may also be recording its own data. For our purposes I'm inclined to think it might be better to combine. If so, we would add the DISCOVERY IDs to the cross-registrations above. (NCT04315948 and whatever the EUCTR entry is)"
tri02683,DRKS00021447,TRUE,2021-10-07T05:38:11Z,NA,NA,NA,NA
tri02699,DRKS00021573,TRUE,2021-10-07T05:39:08Z,NA,NA,NA,NA
tri04704,CTRI/2020/06/026221,TRUE,2021-10-07T06:29:57Z,NA,NA,NA,NA
tri02445,NCT04292730,TRUE,2021-10-07T05:16:41Z,NA,NA,NA,NA
tri02446,NCT04292899,TRUE,2021-11-10T01:21:01Z,NA,NA,NA,NA
tri02091,NCT04306393,TRUE,2021-10-07T05:02:01Z,NA,NA,NA,NA
tri02447,NCT04320615,TRUE,2021-11-10T01:35:58Z,NA,NA,NA,NA
tri00744,NCT04322773,TRUE,2021-09-14T11:47:36Z,NA,NA,NA,"EUCTR has study completion as the day after CT.gov, so I've switched it to that. PCD remains the same."
tri03748,NCT04327388,TRUE,2021-10-07T06:28:14Z,NA,NA,NA,NA
tri03295,NCT04335136,TRUE,2021-10-26T05:09:18Z,NA,NA,NA,NA
tri02334,NCT04351516,TRUE,2021-10-07T05:12:20Z,NA,NA,NA,Cross-reg: 2020-001482-37\n\nProtocol: https://clinicaltrials.gov/ct2/bye/rQoPWwoRrXS9-i-wudNgpQDxudhWudNzlXNiZip9Ei7ym67VZRFncgCtORCJA6h9Ei4L3BUgWwNG0it\n\nNote of withdrawal on EUCTR: https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001482-37/results
tri02956,NCT04368728,TRUE,2021-10-07T05:47:15Z,NA,NA,NA,NA
tri03130,NCT04425460,TRUE,2022-09-09T13:06:23Z,NA,NA,NA,Prematurely ended according to cross-registration: EUCTR2020-001608-40 (tri04111). Possible press release: https://www.prnewswire.com/in/news-releases/zhejiang-hisun-pharmaceutical-covid-19-pandemic-brought-under-control-in-china-with-favipiravir-showing-excellent-clinical-results-829741127.html
tri03499,NCT04433910,TRUE,2021-10-21T08:40:12Z,NA,NA,NA,Looks like there are some kinda related pubs about diagnostics but not worth listing I don't think.
tri05951,NCT04501978,TRUE,2021-10-14T08:28:16Z,NA,NA,NA,Interim because this is just 1 arm of an adaptive trial (Like RECOVERY). Not adding completion date here as they are difficult to define for this trial and it's adaptive anyway so the actual completion date for the whole trial is far in the future.
tri03340,NCT04362137,TRUE,2021-10-21T08:43:05Z,NA,NA,NA,the other publication of an abstract about the trial design is what the embase link leads to
tri03212,NCT04382053,TRUE,2021-10-07T06:00:22Z,NA,NA,NA,NA
tri06926,NCT04645407,TRUE,2021-10-14T08:50:06Z,NA,NA,NA,NA
tri01483,NCT04280705,TRUE,2021-10-07T04:36:57Z,NA,NA,NA,"Same doi (10.1056/NEJMoa2007764) for both interim and full result. Recorded as both publication types.; results comment: Statistical Analysis Plan (SAP) v3; Protocol v3; Registry results updated 2020-12-09.\n\nND: 2020-04-22 was provided as the original completion date from the first round, but I've removed as I don't think that is correct. That's just the cut of the data the DSMB used to decide whether to stop the trial or not."
tri00919,NCT04333420,TRUE,2021-10-21T08:17:16Z,NA,NA,NA,These results are interim because they are the Phase 2 part of a Phase 2/3 study.\n\nAccidentally clicked the TRN searches so that's how I found the preprint (the pub was in the registry) so just added so we have documented.
tri03057,NCT04362813,TRUE,2021-10-21T08:23:55Z,NA,NA,NA,Press release showing the trial happened and completed and saying it didn't meet its endpoints and will submit a paper: https://www.novartis.com/news/media-releases/novartis-provides-update-can-covid-trial-hospitalized-patients-covid-19-pneumonia-and-cytokine-release-syndrome-crs
tri00172,ChiCTR2000029989,TRUE,2021-09-29T03:18:43Z,NA,NA,NA,NA
tri01597,ChiCTR2000029638,TRUE,2021-10-07T04:39:15Z,NA,NA,NA,Using information from the preprint and the final paper to get to completion date together (preprint makes clearer that the April date is the end of enrollment).\n\nSSRN link leads nowhere which is weird: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3622363
tri01614,IRCT20200204046369N1,TRUE,2021-10-07T04:40:03Z,NA,NA,NA,Enrolment date defaulted to 1st of month
tri02778,IRCT20200318046812N1,TRUE,2022-04-26T07:43:07Z,NA,NA,NA,Looks like follow-up was open-ended based on the time to event.
tri02322,NCT04307693,TRUE,2021-10-07T05:11:30Z,NA,NA,NA,Terminated (Terminated early because no patients were further enrolled since mid-Apr 2020.)
tri02933,NCT04315298,TRUE,2021-11-10T01:44:27Z,NA,NA,NA,NA
tri02557,NCT04315948,TRUE,2022-03-02T06:09:48Z,NA,NA,NA,We decided to make DISCOVERY it's own record separate from SOLIDARITY. SOLIDARITY results should be an &quot;Other&quot; result for DISCOVERY because the data from DISCOVERY aren't meaningfully disaggregated. Trial is still ongoing so every other result is interim.
tri00904,NCT04321174,TRUE,2021-10-21T08:55:53Z,NA,NA,NA,NA
tri02244,NCT04321278,TRUE,2021-10-07T05:07:30Z,NA,NA,NA,NA
tri02448,NCT04322123,TRUE,2021-10-07T05:25:03Z,NA,NA,NA,The SCD for this study being way in the future doesn't really make much sense based on what is registered and the finality of the publication.\n\nThe primary outcome appears to be the longest followed-up outcome (though when they assessed it was highly variable for outpatients) therefore we've selected it as Primary.
tri02016,NCT04322565,TRUE,2021-10-07T04:48:40Z,NA,NA,NA,NA
tri03026,NCT04322682,TRUE,2021-10-11T08:31:19Z,NA,NA,NA,"In the manuscript, they say LPLV was in January 2021 but don't give a specific date nor do they give a specific date for the end of enrollment."
tri03287,NCT04324463,TRUE,2021-10-07T06:01:53Z,NA,NA,NA,NA
tri02559,NCT04327401,TRUE,2021-10-07T05:30:12Z,NA,NA,NA,"Terminated (The Data Monitoring Committee recommended to stop the trial based on the Recovery Trial results, which was accepted by the CoDEX Steering Committee.)\n\nPrimary and Study completion are the same so called it Primary"
tri01279,NCT04328480,TRUE,2021-10-07T04:53:02Z,NA,NA,NA,NA
tri02451,NCT04329832,TRUE,2021-10-07T05:26:04Z,NA,NA,NA,NA
tri01097,NCT04331808,TRUE,2022-07-01T09:56:48Z,NA,NA,"This article reports on CORIMUNO-TOCI 1, a CORIMUNO, multicenter, open-label, randomized clinical trial in patients with moderate or severe pneumonia. The trial registration, NCT04331808, describes this study and a second study, CORIMUNO-TOCI 2, a trial conducted in patients with critical pneumonia. Although the 2 trials were placed under the same registration number, they are distinct studies with different participants, and were never intended to be reported together.","We decided that since the registration contained two different trial, the publication of each trial will be a full result. The first full publication of either of these 2 trials would be the one used for analysis. Sub-trial of NCT04324047/EUCTR2020-001246-18 (tri00659) observational supra-'trial' (excluded)"
tri02937,NCT04335305,TRUE,2021-10-07T05:43:12Z,NA,NA,NA,NA
tri00781,NCT04338698,TRUE,2021-10-07T07:30:12Z,NA,NA,NA,No conflicts but this review: https://www.nature.com/articles/s41467-021-22446-z confirms the trial has collected some data as they got some.
tri03303,NCT04343729,TRUE,2021-10-07T06:06:23Z,NA,NA,NA,NA
tri01424,NCT04343768,TRUE,2021-10-07T04:36:05Z,NA,NA,NA,NA
tri00953,NCT04344756,TRUE,2021-10-07T07:27:31Z,NA,NA,NA,Sub-trial of NCT04324047/EUCTR2020-001246-18 (tri00659) observational supra-'trial' (excluded)
tri00960,NCT04345445,TRUE,2021-10-07T07:27:07Z,NA,NA,NA,NA
tri03309,NCT04346355,TRUE,2022-04-26T07:43:38Z,NA,NA,NA,"results comment: On June 11, 2020, the trial Scientific Committee decided to interrupt the study for futility with an enrollment of 126 patients.\n\nSo I don't think 11 June 2020 was actually the LPLV based on what is described. It's actually unclear exactly what day was both the end of ranomdization or LPLV."
tri05356,NCT04347031,TRUE,2021-10-07T06:32:40Z,NA,NA,NA,NA
tri01007,NCT04351490,TRUE,2021-10-01T18:40:27Z,NA,NA,NA,NA
tri01123,NCT04351724,TRUE,2021-10-14T09:24:04Z,NA,NA,NA,NA
tri01899,NCT04354259,TRUE,2021-10-07T04:43:40Z,NA,NA,NA,NA
tri02335,NCT04354428,TRUE,2021-09-30T09:21:17Z,NA,NA,NA,"because the lopinavir-ritonavir arm was not reported at all, we decided to code the results as interim"
tri03327,NCT04356937,TRUE,2021-10-11T08:45:57Z,NA,NA,NA,NA
tri01168,NCT04359095,TRUE,2021-10-14T09:28:28Z,NA,NA,NA,NA
tri02580,NCT04359511,TRUE,2021-11-10T01:02:43Z,NA,NA,NA,NA
tri01906,NCT04362085,TRUE,2021-10-07T04:44:53Z,NA,NA,NA,NA
tri01514,NCT04363437,TRUE,2021-10-07T04:37:38Z,NA,NA,NA,NA
tri02467,NCT04363736,TRUE,2021-11-10T01:08:49Z,NA,NA,NA,Not really an &quot;other&quot; but this preprint used some data from this trial: https://www.medrxiv.org/content/10.1101/2020.12.23.20247379v1.full.pdf
tri03351,NCT04365582,TRUE,2021-10-07T06:10:03Z,NA,NA,NA,NA
tri03366,NCT04372186,TRUE,2021-10-07T06:11:45Z,NA,NA,NA,Full results b/c full primary endpoint results. F/u for longest secondary reported here was 60 days but doesn't really matter b/c there are more registered outcomes for a year of f/u.
tri02586,NCT04372589,TRUE,2022-04-04T05:55:03Z,NA,NA,NA,"These two NEJM papers are both full results published on the same day. They are reported as a pooled analysis, not disaggregated, of this trial plus the heparin arms of two other ongoing adaptive trials. If those were completed, this would be a lot more complicated in our data but since they are not, and are therefore not going to be data points in our final analysis anyway, we can follow the precedent from the prone positioning trial and treat this as a pooled meta-result of the three trials with this one being fully reported in a journal article. So even though we couldn't disaggregate the data from this specific registration, we feel comfortable assigning the full results to the registration based on our data."
tri01560,NCT04377750,TRUE,2021-10-07T04:38:15Z,NA,NA,NA,NA
tri01845,NCT04381858,TRUE,2021-10-07T04:43:05Z,NA,NA,NA,A little unsure about the follow-up for the secondary outcome. Seems open ended.
tri02964,NCT04381962,TRUE,2021-11-10T01:12:40Z,NA,NA,NA,Their website (https://atomic2.octru.ox.ac.uk/) has updates including latest: Monday 1st February 2021 'Trial recruitment paused'
tri03075,NCT04386850,TRUE,2021-10-07T05:58:43Z,NA,NA,NA,NA
tri03397,NCT04389840,TRUE,2021-12-09T05:53:47Z,NA,NA,NA,NA
tri02073,NCT04392141,TRUE,2021-10-07T04:49:23Z,NA,NA,NA,NA
tri03406,NCT04394377,TRUE,2021-10-21T08:34:16Z,NA,NA,NA,NA
tri02269,NCT04395105,TRUE,2021-10-07T05:09:01Z,NA,NA,NA,Terminated (Low rate of recruitment)
tri02284,NCT04400058,TRUE,2021-10-07T05:09:56Z,NA,NA,NA,"The DSMB voted to continue the study until phase 3 randomized placebo-controlled multicenter study of IVIG in COVID-19 (Octagam 10% therapy in COVID-19 patients with severe disease; clinicaltrials.gov, NCT04400058, May 22, 2020) became available. (https://journals.lww.com/ccejournal/Fulltext/2020/11000/Intravenous_Immunoglobulin_Plus_Methylprednisolone.14.aspx)"
tri02973,NCT04403100,TRUE,2021-10-07T05:50:36Z,NA,NA,NA,"There is a discrepancy between the abstract and article in nothing the end of recruitment (30 Sept vs. 9 Oct) This might be due to a difference between enrollment and randomization dates if there was a lag.\n\nThe secondary outcomes were all 28 days, but the primary was outcome. Assume AEs (another secondary outcome) were also followed-up through 90 days but that wasn't explicit. Doesn't matter though as the longest outcome was the 90 day outcome."
tri02393,NCT04406389,TRUE,2021-10-07T05:14:32Z,NA,NA,NA,NA
tri02405,NCT04407507,TRUE,2021-11-10T01:06:08Z,NA,NA,NA,NA
tri03434,NCT04409262,TRUE,2021-10-07T06:16:21Z,NA,NA,NA,"Trial happened, results were negative, and results expected to be published: https://www.roche.com/media/releases/med-cor-2021-03-11.htm"
tri03092,NCT04409886,TRUE,2021-10-25T08:04:29Z,NA,NA,NA,NA
tri03458,NCT04422561,TRUE,2021-10-07T06:18:51Z,NA,NA,NA,NA
tri03542,NCT04438850,TRUE,2021-10-07T06:22:25Z,NA,NA,NA,NA
tri03634,NCT04446104,TRUE,2021-10-07T08:40:10Z,NA,NA,NA,"When they say &quot;follow-up was nearly complete&quot; they mean the 12 people who dropped out. Everyone else finished follow-up.\nFor enrollment, they say it began on 18 May 2020, then they recruited for 14 days. If you include the 18th, that is until 31 May 2020.\n"
tri03747,NCT04348305,TRUE,2021-10-07T06:25:56Z,NA,NA,NA,"EUCTR and CT.gov completion dates differ slightly:\n\nPCD on CT.gov: September 10, 2020\nSCD on CT.gov: June 8, 2021\n\nEUCTR: \t2020-09-03\n\n&quot;Due to the results of the RECOVERY trial, the Management Committee of the COVID STEROID trial decided to pause enrolment as of 16 June 2020. The trial is officially paused until the full peer?reviewed RECOVERY paper and the results of an ongoing prospective meta?analysis of corticosteroids for COVID?19 are published.&quot;"
tri01222,NCT04363840,TRUE,2021-10-07T04:33:18Z,NA,NA,NA,NA
tri01842,NCT04381364,TRUE,2021-10-07T04:42:21Z,NA,NA,NA,NA
tri02080,NCT04392713,TRUE,2021-10-14T09:31:13Z,NA,NA,NA,NA
tri03644,NCT04447235,TRUE,2021-10-07T06:23:39Z,NA,NA,NA,NA
tri05450,NCT04451174,TRUE,2021-10-07T06:33:56Z,NA,NA,NA,NA
tri05535,NCT04459247,TRUE,2021-10-07T08:51:29Z,NA,NA,NA,The new completion dates in the registration are clearly wrong since we have a full publication. The old ones at least make sense for the publication timeline. No dates in the pub.
tri05811,NCT04486508,TRUE,2021-10-14T07:48:16Z,NA,NA,NA,NA
tri05932,NCT04499313,TRUE,2021-10-07T06:36:22Z,NA,NA,NA,NA
tri05935,NCT04499677,TRUE,2021-10-07T05:27:49Z,NA,NA,NA,"From Protocol - Trial status: Protocol version 4.0 dated 7th January 2021. Date of first enrolment: October 2020. Recruitment is ongoing, with anticipated finish date of 31st March 2021."
tri05950,NCT04501965,TRUE,2021-10-07T05:25:49Z,NA,NA,NA,NA
tri06054,NCT04516941,TRUE,2021-10-07T05:22:26Z,NA,NA,NA,NA
tri06103,NCT04523831,TRUE,2021-10-14T08:37:29Z,NA,NA,NA,NA
tri06132,NCT04527211,TRUE,2021-10-07T05:20:56Z,NA,NA,NA,NA
tri06139,NCT04527562,TRUE,2021-10-07T05:20:31Z,NA,NA,NA,NA
tri06143,NCT04528329,TRUE,2021-10-07T05:15:58Z,NA,NA,NA,Decision to exclude based on outcomes
tri06156,NCT04529525,TRUE,2022-02-04T08:27:50Z,NA,NA,NA,"Abstract and main text contradicted about whether 2021-02-22 was end of 'randomization' or 'conducting.' Comparing to the registry (completion date of 2021-02-22), we used 2021-02-22 as completion date."
tri06160,NCT04530409,TRUE,2021-10-07T05:15:00Z,NA,NA,NA,NA
tri06161,NCT04530422,TRUE,2021-10-26T05:12:24Z,NA,NA,NA,NA
tri06331,NCT04551781,TRUE,2022-02-04T08:29:47Z,NA,NA,NA,"Post covid19 Pulmonary Fibrosis, so not treatment/prevention"
tri06729,NCT04613271,TRUE,2021-10-06T02:40:06Z,NA,NA,NA,"Suspended (Study halted prematurely but potentially will resume, the protocol will be amended)"
tri06788,NCT04622891,TRUE,2021-10-14T08:48:16Z,NA,NA,NA,NA
tri06932,NCT04646109,TRUE,2022-02-04T08:35:53Z,NA,NA,NA,I think this team had a little trouble with registration and what 'Primary outcomes' meant but I think it's clear they are looking at if Ivermectin helps people with severe covid.
tri01096,NCT04330638,TRUE,2021-10-07T04:30:31Z,NA,NA,NA,Searched b/c PCD now before cutoff
tri02969,NCT04397510,TRUE,2021-11-10T01:04:05Z,NA,NA,NA,NA
tri02384,NCT04405843,TRUE,2021-10-07T05:14:11Z,NA,NA,NA,Primary and secondary f/u were same length so noted as &quot;Primary&quot;
tri03437,NCT04410354,TRUE,2021-10-07T06:16:54Z,NA,NA,NA,Terminated (Failure to meet primary endpoint)
tri03462,NCT04425629,TRUE,2021-10-07T06:19:41Z,NA,NA,NA,NA
tri03639,NCT04446429,TRUE,2022-04-04T05:53:42Z,NA,NA,NA,This trial has a load of publications reflecting a trial registration that has completely changed numerous times. Extracted it to align to the registry as it currently stands with results for other treatments treated as 'Other' publications. Article subsequently retracted.
tri06962,NCT04476745,TRUE,2021-10-06T02:33:56Z,NA,NA,NA,It's examining cytokine levels in uninfected people. I don't think the connection is there to treatment or prevention really.
tri03746,NCT04381936,TRUE,2021-10-07T06:24:40Z,NA,NA,NA,"I think we should make a call that all adaptive trials like this have &quot;interim&quot; results.\n\nI went and added all the RECOVERY results even if they weren't the registry, just for completeness."
tri03418,NCT04401579,TRUE,2021-10-07T06:15:11Z,NA,NA,NA,"2020-001052-18 is the blanket ACTT registration on the EUCTR so it also links to to ACTT-1\nhttps://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001052-18/results\nThis has results but for ACTT-2 it is only in a link to the paper, so not counting as registry results."
tri00585,ChiCTR2000031196,TRUE,2021-10-07T07:30:39Z,NA,NA,NA,NA
tri02666,ChiCTR2000033774,TRUE,2021-10-07T05:35:50Z,NA,NA,NA,This is a commentary from that group that references the trial: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459257/#CR25
tri01982,ACTRN12620000571976,TRUE,2021-10-07T04:47:47Z,NA,NA,NA,NA
tri04565,CTRI/2020/05/025425,TRUE,2021-09-30T08:33:24Z,NA,NA,NA,The registry had a small abstract of results...determine not detailed enough to count\nhttp://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=44043
tri03274,NCT04269525,TRUE,2022-04-26T07:44:11Z,NA,NA,NA,"The article states: In our protocol, the follow?up time would be 28 days in total. Due to the quarantine, the actual follow?up time was 39 days (7?67 days). Inclusion criteria and exclusion criteria were provided in supplementary file (Table 1), however follow-up for the primary outcome was 14 days. We also don't know when those longer follow-ups took place during enrollment so I'm just going with the stated enrollment (they only report at days 14 and 28 anyway).\nCompletion dates on the registry are very clearly wrong."
