id,date_cutoff,date_completion,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri00002,2021-07-01,2020-04-30,TRUE,TRUE,TRUE,FALSE,TRUE,2020-03-23,2020-05-19,2020-03-23,NA,2020-03-23,-38,19,-38,427,-38
tri00005,2021-07-01,2020-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,365,365,365,365,365
tri00006,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00010,2021-07-01,2020-06-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,395,395,395,395,395
tri00011,2021-07-01,2020-06-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,395,395,395,395,395
tri00012,2021-07-01,2021-02-06,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,145,145,145,145,145
tri00013,2021-07-01,2021-02-06,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,145,145,145,145,145
tri00019,2021-07-01,2020-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00020,2021-07-01,2021-02-28,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,123,123,123,123,123
tri00022,2021-07-01,2020-04-16,TRUE,TRUE,FALSE,FALSE,TRUE,2020-08-13,2020-08-13,NA,NA,2020-08-13,119,119,441,441,119
tri00024,2021-07-01,2021-02-01,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,150,150,150,150,150
tri00026,2021-07-01,2020-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,427,427,427,427,427
tri00028,2021-07-01,2020-08-11,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,324,324,324,324,324
tri00030,2021-07-01,2020-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,182,182,182,182,182
