id,trn,registry,ids_old,resolved
tri00001,NCT04246242,ClinicalTrials.gov,tri00001,NA
tri00002,NCT04252885,ClinicalTrials.gov,tri00002,NA
tri00003,NCT04255940,ClinicalTrials.gov,tri00003,NA
tri00004,NCT04260308,ClinicalTrials.gov,tri00004,NA
tri00005,NCT04260594,ClinicalTrials.gov,tri00005,NA
tri00006,NCT04261426,ClinicalTrials.gov,tri00006,NA
tri00007,NCT04261907,ClinicalTrials.gov,tri00007,NA
tri00008,ChiCTR2000029953,ChiCTR,tri00008,NA
tri00009,ChiCTR2000029949,ChiCTR,tri00009,NA
tri00010,ChiCTR2000029947,ChiCTR,tri00010,NA
tri00011,ChiCTR2000029941,ChiCTR,tri00011,NA
tri00012,ChiCTR2000029939,ChiCTR,tri00012,NA
tri00013,ChiCTR2000029935,ChiCTR,tri00013,NA
tri00014,ChiCTR2000029907,ChiCTR,tri00014,NA
tri00015,ChiCTR2000029905,ChiCTR,tri00015,NA
tri00016,ChiCTR2000029896,ChiCTR,tri00016,NA
tri00017,ChiCTR2000029883,ChiCTR,tri00017,NA
tri00018,ChiCTR2000029870,ChiCTR,tri00018,NA
tri00019,ChiCTR2000029869,ChiCTR,tri00019,NA
tri00020,ChiCTR2000029867,ChiCTR,tri00020,NA
tri00021,ChiCTR2000029855,ChiCTR,tri00021,NA
tri00022,ChiCTR2000029853,ChiCTR,tri00022,NA
tri00023,ChiCTR2000029850,ChiCTR,tri00023,NA
tri00024,ChiCTR2000029849,ChiCTR,tri00024,NA
tri00025,ChiCTR2000029839,ChiCTR,tri00025,NA
tri00026,ChiCTR2000029822,ChiCTR,tri00026,NA
tri00027,ChiCTR2000029821,ChiCTR,tri00027,NA
tri00028,ChiCTR2000029819,ChiCTR,tri00028,NA
tri00029,ChiCTR2000029815,ChiCTR,tri00029,NA
tri00030,ChiCTR2000029814,ChiCTR,tri00030,NA
tri00031,ChiCTR2000029813,ChiCTR,tri00031,NA
