id,trn_all,in_ictrp,trn_ictrp,n_ictrp,is_intervention,is_reg_2020,is_not_withdrawn_ictrp,in_registries,trn_registries,n_registries,is_not_withdrawn_registry,is_any_rcd_cutoff_3,is_not_withdrawn_auto,is_not_phase_1_manually_excluded,is_clinical_trial_manual,is_covid_manual,is_not_withdrawn_manual,is_extracted,is_pass_screening_auto,is_pass_screening_manual_ignore_cd,is_pass_screening_manual
tri00001,NCT04246242,TRUE,NCT04246242,1,TRUE,TRUE,TRUE,TRUE,NCT04246242,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00002,NCT04252885,TRUE,NCT04252885,1,TRUE,TRUE,TRUE,TRUE,NCT04252885,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00003,NCT04255940,TRUE,NCT04255940,1,FALSE,TRUE,TRUE,TRUE,NCT04255940,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00004,NCT04260308,TRUE,NCT04260308,1,FALSE,TRUE,TRUE,TRUE,NCT04260308,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00005,NCT04260594,TRUE,NCT04260594,1,TRUE,TRUE,TRUE,TRUE,NCT04260594,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00006,NCT04261426,TRUE,NCT04261426,1,TRUE,TRUE,TRUE,TRUE,NCT04261426,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00007,NCT04261907,TRUE,NCT04261907,1,TRUE,TRUE,TRUE,TRUE,NCT04261907,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE
tri00008,ChiCTR2000029953,TRUE,ChiCTR2000029953,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029953,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00009,ChiCTR2000029949,TRUE,ChiCTR2000029949,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029949,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00010,ChiCTR2000029947,TRUE,ChiCTR2000029947,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029947,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00011,ChiCTR2000029941,TRUE,ChiCTR2000029941,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029941,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
