id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri00002,2020-04-30,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-03-23,2020-05-19,2020-03-23,NA,2020-03-23,-38,19,-38,472,-38
tri00005,2020-03-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,521,521,521,521,521
tri00006,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00010,2020-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,440,440,440,440,440
tri00011,2020-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,440,440,440,440,440
tri00012,2021-02-06,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,190,190,190,190,190
tri00013,2021-02-06,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,190,190,190,190,190
tri00019,2020-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,411,411,411,411,411
tri00020,2021-02-28,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,168,168,168,168,168
tri00022,2020-04-16,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-08-13,2020-08-13,NA,NA,2020-08-13,119,119,486,486,119
tri00024,2021-02-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,195,195,195,195,195
tri00026,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00028,2020-08-11,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,369,369,369,369,369
tri00030,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00031,2020-08-14,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,366,366,366,366,366
tri00034,2021-01-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,196,196,196,196,196
tri00037,2020-10-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,288,288,288,288,288
tri00039,2020-12-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,228,228,228,228,228
tri00043,2020-06-30,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-05-28,2020-05-28,NA,NA,2020-05-28,-33,-33,411,411,-33
tri00044,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00045,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00046,2020-05-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,460,460,460,460,460
tri00047,2020-05-10,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-08-29,2021-03-09,2020-08-29,NA,2020-08-29,111,303,111,462,111
tri00049,2020-05-31,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-02-03,NA,2021-02-03,NA,2021-02-03,248,441,248,441,248
tri00054,2021-02-10,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,186,186,186,186,186
tri00055,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00056,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00062,2020-04-14,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,488,488,488,488,488
tri00065,2020-07-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,381,381,381,381,381
tri00070,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00071,2020-12-31,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-05-04,2020-05-28,2020-05-04,NA,2020-05-04,-241,-217,-241,227,-241
tri00073,2020-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,441,441,441,441,441
tri00074,2020-08-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,379,379,379,379,379
tri00075,2020-08-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-08-08,2020-08-08,NA,NA,2020-08-08,7,7,379,379,7
tri00076,2020-04-29,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-03-18,2020-03-18,NA,NA,2020-03-18,-42,-42,473,473,-42
tri00077,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00080,2020-02-29,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-03-30,NA,2020-03-30,NA,2020-03-30,30,533,30,533,30
tri00082,2020-06-03,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,438,438,438,438,438
tri00083,2020-05-31,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-05-05,2020-10-25,2020-05-05,NA,2020-05-05,-26,147,-26,441,-26
tri00084,2020-07-30,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-04-01,2020-04-01,NA,NA,2020-04-01,-120,-120,381,381,-120
tri00085,2020-12-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,257,257,257,257,257
tri00086,2021-02-02,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,194,194,194,194,194
tri00087,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00088,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00091,2020-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,502,502,502,502,502
tri00092,2020-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,411,411,411,411,411
tri00100,2020-12-31,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-08-01,2020-08-01,NA,NA,2020-08-01,-152,-152,227,227,-152
tri00101,2020-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,502,502,502,502,502
tri00102,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00105,2020-08-31,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-04-01,2020-05-27,2020-04-01,NA,2020-04-01,-152,-96,-152,349,-152
tri00106,2020-12-31,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-10-08,2020-10-08,NA,NA,2020-10-08,-84,-84,227,227,-84
tri00107,2020-12-31,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-07-28,2021-07-28,NA,NA,2021-07-28,209,209,227,227,209
tri00108,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00109,2020-03-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,503,503,503,503,503
tri00112,2020-04-17,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,485,485,485,485,485
tri00113,2020-07-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,380,380,380,380,380
tri00114,2020-09-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,348,348,348,348,348
tri00115,2020-05-14,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,458,458,458,458,458
tri00116,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00118,2020-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,441,441,441,441,441
tri00123,2020-08-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,349,349,349,349,349
tri00125,2020-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,441,441,441,441,441
tri00126,2020-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,441,441,441,441,441
tri00132,2020-08-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,349,349,349,349,349
tri00137,2020-05-30,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-09-21,2020-09-21,NA,NA,2020-07-21,114,114,442,442,52
tri00139,2020-05-21,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-06-22,NA,2020-06-22,NA,2020-06-22,32,451,32,451,32
tri00140,2020-04-07,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-04-06,2020-04-06,NA,NA,2020-04-06,-1,-1,495,495,-1
tri00141,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00142,2020-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,411,411,411,411,411
