id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri00002,2020-04-30,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-03-23,2020-05-19,2020-03-23,NA,2020-03-23,-38,19,-38,472,-38
tri00107,2020-12-31,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-07-28,2021-07-28,NA,NA,2021-07-28,209,209,227,227,209
tri00193,2020-03-09,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-03-24,2021-05-17,2020-03-24,NA,2020-03-24,15,434,15,524,15
tri00265,2020-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,441,441,441,441,441
tri00473,2020-03-02,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-08-10,2021-01-09,2020-08-10,NA,2020-08-10,161,313,161,531,161
tri00521,2020-03-20,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-03-20,NA,2020-03-20,NA,2020-03-20,0,513,0,513,0
tri00526,2020-06-30,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-04-14,2020-05-14,2020-04-14,NA,2020-04-14,-77,-47,-77,411,-77
tri00654,2020-04-05,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-07-29,2021-02-05,2020-07-29,NA,2020-07-29,115,306,115,497,115
tri00675,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137
tri00722,2020-08-07,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,373,373,373,373,373
tri00728,2020-06-03,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,438,438,438,438,438
tri00732,2020-02-25,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-05-25,2020-05-25,NA,NA,2020-05-25,90,90,537,537,90
tri00735,2020-03-19,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-03-24,2020-11-25,2020-03-24,NA,2020-03-24,5,251,5,514,5
tri00744,2020-10-09,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,310,310,310,310,310
tri00745,2020-11-13,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,275,275,275,275,275
tri00755,2021-01-05,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,222,222,222,222,222
tri00756,2020-06-25,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-04-13,416,416,416,416,292
tri00776,2020-06-02,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-11-18,2020-11-18,NA,NA,2020-11-18,169,169,439,439,169
tri00789,2020-06-29,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-06-14,2021-06-14,NA,NA,2021-06-14,350,350,412,412,350
tri00791,2021-06-10,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2021-05-05,2021-07-06,2021-05-05,NA,2021-05-05,-36,26,-36,66,-36
tri00798,2021-02-26,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,170,170,170,170,170
tri00801,2021-04-10,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-07-23,NA,2021-07-23,NA,2021-07-23,104,127,104,127,104
tri00820,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00829,2020-12-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-05-16,2020-05-16,NA,NA,2020-05-16,-199,-199,257,257,-199
tri00830,2020-12-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,257,257,257,257,257
tri00836,2020-06-08,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,433,433,433,433,433
tri00842,2020-06-26,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,415,415,415,415,415
