id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri00005,2020-07-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,410,410,410,410,410
tri00019,2020-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,411,411,411,411,411
tri00020,2021-02-28,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,168,168,168,168,168
tri00047,2020-05-10,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-08-29,2021-03-09,2020-08-29,NA,2020-08-29,111,303,111,462,111
tri00056,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00070,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00071,2020-12-31,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-05-04,2020-05-28,2020-05-04,NA,2020-05-04,-241,-217,-241,227,-241
tri00080,2020-02-29,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2020-03-30,NA,2020-03-30,NA,2020-03-30,30,533,30,533,30
tri00107,2020-12-31,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-07-28,2021-07-28,NA,NA,2021-07-28,209,209,227,227,209
tri00108,2020-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,472,472,472,472,472
tri00137,2020-05-30,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-09-21,2020-09-21,NA,NA,2020-07-21,114,114,442,442,52
tri00141,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227
tri00164,2020-05-28,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-06-17,2020-09-08,NA,2020-06-17,2020-06-17,20,103,444,20,20
tri00170,2020-05-20,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,452,452,452,452,452
